age,depth,d18o,error
4660,787.9,-34.69,9
4680,790.63,-35.21,9
4700,793.03,-35.02,10
4720,795.69,-34.71,10
4740,798.64,-34.79,10
4760,800.95,-35.09,10
4780,804.14,-34.54,10
4800,807.06,-34.82,10
4820,809.86,-34.66,10
4840,812.37,-34.93,10
4860,814.86,-34.42,10
4880,817.78,-34.89,10
4900,820.2,-34.79,11
4920,822.79,-34.65,11
4940,825.43,-34.55,11
4960,827.85,-34.57,11
4980,830.52,-34.08,11
5000,833.42,-34.92,11
5020,835.93,-34.79,11
5040,838.83,-34.53,11
5060,841.59,-34.8,11
5080,844.2,-34.63,11
5100,846.81,-34.84,12
5120,850.05,-34.64,12
5140,852.79,-35.11,12
5160,855.68,-34.73,12
5180,858.5,-35.05,12
5200,861.14,-33.85,12
5220,863.91,-34.63,12
5240,866.83,-34.9,12
5260,869.41,-34.74,12
5280,872.14,-34.56,12
5300,874.64,-35.27,13
5320,877.24,-35.03,13
5340,879.73,-34.77,13
5360,882.13,-35.39,13
5380,885.06,-34.96,13
5400,887.67,-34.78,13
5420,890.47,-35.1,13
5440,893,-34.35,13
5460,895.73,-34.81,13
5480,898.46,-34.91,13
5500,901.2,-34.47,14
5520,903.83,-34.53,14
5540,906.5,-34.7,14
5560,909.22,-34.36,14
5580,911.77,-34.22,14
5600,914.42,-35.06,14
5620,917.03,-34.78,14
5640,919.58,-35.19,14
5660,922.16,-33.88,14
5680,924.65,-35.2,14
5700,927.19,-35.18,15
5720,929.55,-34.51,15
5740,931.99,-35.25,15
5760,934.79,-34.69,15
5780,937.22,-34.71,15
5800,939.77,-34.55,15
5820,942.18,-34.5,15
5840,944.93,-34.71,15
5860,947.43,-35.02,15
5880,950.12,-34.71,15
5900,953.03,-33.95,16
5920,955.55,-34.2,16
5940,958.09,-34.61,16
5960,960.18,-34.91,16
5980,962.78,-34.73,16
6000,965.21,-34.85,16
6020,967.97,-35.03,16
6040,970.27,-34.77,16
6060,972.71,-34.78,16
6080,975.29,-35.49,16
6100,977.83,-34.27,17
6120,980.04,-35.17,17
6140,982.61,-34.71,17
6160,985.21,-34.39,17
6180,987.78,-34.42,17
6200,989.94,-34.89,17
6220,992.39,-34.89,17
6240,994.99,-34.58,17
6260,997.45,-34.6,17
6280,1000.34,-35.13,17
6300,1002.84,-34.38,18
6320,1005.35,-35.2,18
6340,1007.78,-34.55,18
6360,1010.77,-34.6,18
6380,1013.29,-34.86,18
6400,1015.62,-34.99,18
6420,1018.21,-34.23,18
6440,1020.62,-34.62,18
6460,1022.89,-34.07,18
6480,1025.55,-34.97,18
6500,1027.6,-34.32,19
6520,1029.94,-34.5,19
6540,1032.45,-34.53,19
6560,1034.79,-35.01,19
6580,1037.43,-34.97,19
6600,1039.75,-34.98,19
6620,1042.22,-34.45,19
6640,1044.88,-34.37,19
6660,1047.34,-34.61,19
6680,1049.75,-34.57,19
6700,1052.32,-34.74,20
6720,1054.83,-34.37,20
6740,1057.53,-34.49,20
6760,1060.01,-34.52,20
6780,1062.56,-34.58,20
6800,1064.83,-35.12,20
6820,1067.2,-34.69,20
6840,1069.6,-34.32,20
6860,1072.08,-34.36,20
6880,1074.49,-34.72,20
6900,1077.09,-34.56,21
6920,1079.59,-34.97,21
6940,1082.24,-34.32,21
6960,1084.41,-34.26,22
6980,1086.53,-35.11,22
7000,1088.77,-34.73,23
7020,1091.33,-34.47,23
7040,1093.71,-34.82,23
7060,1095.88,-34.9,24
7080,1098.2,-34.77,24
7100,1100.75,-34.4,25
7120,1103.61,-34.95,25
7140,1106,-34.97,25
7160,1108.25,-34.36,26
7180,1110.46,-35.28,26
7200,1112.82,-34.74,27
7220,1115.24,-34.68,27
7240,1117.64,-34.93,27
7260,1119.92,-34.87,28
7280,1122.07,-34.12,28
7300,1124.25,-34.84,29
7320,1126.65,-34.99,29
7340,1129.13,-34.73,29
7360,1131.51,-34.64,30
7380,1134.16,-34.74,30
7400,1136.34,-34.31,31
7420,1138.52,-34.55,31
7440,1141.01,-34.62,31
7460,1143.07,-34.5,32
7480,1145.4,-34.44,32
7500,1147.83,-33.88,33
7520,1150.16,-34.77,33
7540,1152.66,-34.78,33
7560,1155.07,-35.04,34
7580,1157.29,-34.34,34
7600,1159.81,-34.52,35
7620,1162.23,-34.08,35
7640,1164.07,-34.01,35
7660,1166.38,-34.88,36
7680,1168.31,-33.9,36
7700,1170.54,-34.01,37
7720,1173.11,-34.65,37
7740,1175.36,-34.26,37
7760,1177.35,-34.09,38
7780,1179.41,-34.75,38
7800,1182.27,-34.35,39
7820,1184.71,-34.13,39
7840,1186.97,-33.76,39
7860,1189.47,-34.35,40
7880,1191.64,-34.4,40
7900,1194.1,-34.62,41
7920,1196.22,-34.98,41
7940,1198.38,-34.51,41
7960,1200.51,-34.78,42
7980,1202.58,-34.83,42
8000,1204.84,-33.6,43
8020,1207.12,-34.04,43
8040,1209.33,-34.4,43
8060,1211.48,-34.43,44
8080,1213.51,-35.05,44
8100,1215.53,-34.51,45
8120,1217.62,-34.5,45
8140,1219.47,-33.96,45
8160,1221.56,-35.44,46
8180,1223.46,-35.68,46
8200,1225.46,-35.54,47
8220,1227.26,-36.06,47
8240,1228.99,-35.88,47
8260,1230.56,-36.03,48
8280,1232.53,-35.21,48
8300,1234.78,-35.68,49
8320,1237.16,-34.5,49
8340,1239.2,-34.7,49
8360,1241.04,-34.87,50
8380,1242.94,-34.95,50
8400,1244.84,-34.41,51
8420,1246.74,-35.36,51
8440,1248.7,-34.79,51
8460,1250.75,-34.46,52
8480,1252.59,-35.07,52
8500,1254.39,-34.7,53
8520,1256.5,-34.43,53
8540,1258.4,-34.83,53
8560,1260.45,-34.99,54
8580,1262.41,-34.59,54
8600,1264.2,-34.35,55
8620,1266.07,-34.83,55
8640,1267.97,-34.18,55
8660,1269.66,-35.02,56
8680,1271.79,-35.46,56
8700,1273.68,-35.21,57
8720,1275.67,-34.01,57
8740,1277.56,-34.92,58
8760,1279.4,-34.49,58
8780,1281.18,-35.34,58
8800,1283.04,-34.22,59
8820,1285.07,-35.57,59
8840,1286.76,-35.22,60
8860,1288.68,-34.08,60
8880,1290.44,-35.15,60
8900,1292.17,-34.57,61
8920,1294.04,-34.17,61
8940,1295.85,-34.3,62
8960,1297.54,-34.71,62
8980,1299.74,-34.57,62
9000,1301.54,-34.47,63
9020,1303.4,-34.68,63
9040,1305.08,-35.57,64
9060,1306.82,-35.18,64
9080,1308.46,-34.92,64
9100,1310.23,-34.73,65
9120,1312.12,-34.61,65
9140,1313.93,-34.98,66
9160,1315.62,-34.47,66
9180,1317.55,-34.34,66
9200,1319.24,-34.7,67
9220,1321.01,-34.83,67
9240,1322.88,-34.92,68
9260,1324.4,-35.62,68
9280,1326.11,-35.66,68
9300,1327.73,-36.05,69
9320,1329.25,-35.19,69
9340,1330.87,-35.04,70
9360,1332.57,-34.91,70
9380,1334.36,-34.56,70
9400,1336.18,-34.87,71
9420,1337.81,-34.8,71
9440,1339.56,-34.83,72
9460,1341.22,-35.12,72
9480,1342.94,-35.12,72
9500,1344.72,-34.92,73
9520,1346.41,-34.66,73
9540,1347.87,-35.01,74
9560,1349.52,-34.56,74
9580,1351.16,-34.98,74
9600,1352.67,-35.13,75
9620,1354.48,-34.95,75
9640,1356.13,-34.77,76
9660,1357.78,-34.96,76
9680,1359.35,-34.85,77
9700,1360.87,-34.84,77
9720,1362.51,-34.62,77
9740,1364.19,-34.68,78
9760,1365.83,-34.87,78
9780,1367.39,-34.66,79
9800,1369.07,-34.49,79
9820,1370.71,-35.12,79
9840,1371.87,-35.37,80
9860,1373.44,-35.22,80
9880,1375.15,-34.54,81
9900,1376.7,-35.06,81
9920,1378.2,-35.26,81
9940,1379.72,-34.85,82
9960,1381.21,-35.46,82
9980,1382.79,-34.65,83
10000,1384.34,-35.1,83
10020,1385.88,-34.94,83
10040,1387.37,-35.11,84
10060,1388.82,-35.79,84
10080,1390.23,-35.21,85
10100,1391.72,-35.32,85
10120,1393.18,-35.29,85
10140,1394.61,-35.45,86
10160,1396.05,-34.99,86
10180,1397.61,-35.02,87
10200,1399.13,-34.89,87
10220,1400.55,-35.93,87
10240,1402.07,-35.54,88
10260,1403.52,-36.33,88
10280,1405.04,-36.39,89
10300,1406.44,-36.01,89
10320,1407.91,-36.01,89
10340,1409.42,-35.2,89
10360,1410.77,-36.12,89
10380,1412.14,-36.18,89
10400,1413.48,-36.36,89
10420,1414.8,-35.96,90
10440,1416.18,-36.12,90
10460,1417.5,-36.04,90
10480,1418.84,-35.53,90
10500,1420.22,-36.34,90
10520,1421.55,-35.46,90
10540,1422.87,-35.73,90
10560,1424.23,-35.86,91
10580,1425.59,-35.99,91
10600,1426.93,-35.89,91
10620,1428.22,-36.12,91
10640,1429.54,-36.13,91
10660,1430.85,-36.16,91
10680,1432.22,-35.5,91
10700,1433.5,-35.77,92
10720,1434.84,-36.05,92
10740,1436.11,-36.45,92
10760,1437.43,-35.88,92
10780,1438.71,-36.22,92
10800,1439.92,-36.83,92
10820,1441.16,-35.84,92
10840,1442.44,-36.59,93
10860,1443.8,-36.09,93
10880,1445.12,-37.23,93
10900,1446.33,-37.6,93
10920,1447.53,-37.25,93
10940,1448.64,-37.15,93
10960,1449.92,-37,93
10980,1451.03,-38.01,94
11000,1452.29,-36.53,94
11020,1453.54,-37.05,94
11040,1454.75,-36.44,94
11060,1455.98,-36.64,94
11080,1457.18,-36.89,94
11100,1458.38,-37.11,94
11120,1459.59,-36.71,95
11140,1460.85,-36.43,95
11160,1461.97,-37.13,95
11180,1463.16,-36.62,95
11200,1464.37,-37.25,95
11220,1465.52,-37.39,95
11240,1466.67,-37.6,95
11260,1467.9,-36.57,95
11280,1469.13,-36.16,96
11300,1470.36,-36.58,96
11320,1471.51,-37.54,96
11340,1472.66,-36.67,96
11360,1473.88,-36.91,96
11380,1475.02,-37.45,96
11400,1476.16,-37.63,96
11420,1477.23,-37.11,97
11440,1478.16,-38.46,97
11460,1479.15,-38.26,97
11480,1480.13,-38.72,97
11500,1481.24,-37.41,97
11520,1482.32,-37.84,97
11540,1483.41,-36.9,97
11560,1484.59,-36.6,98
11580,1485.69,-36.87,98
11600,1486.95,-36.78,98
11620,1488.1,-36.41,98
11640,1489.26,-36.57,98
11660,1490.44,-36.68,98
11680,1491.45,-38.49,98
11700,1492.33,-39.04,99
11720,1492.94,-39.6,99
11740,1493.62,-39.72,100
11760,1494.26,-40.85,100
11780,1494.85,-40.55,101
11800,1495.43,-39.87,102
11820,1496.06,-40.45,102
11840,1496.68,-40.97,103
11860,1497.25,-39.17,104
11880,1497.81,-38.93,104
11900,1498.35,-41.52,105
11920,1498.93,-39.73,106
11940,1499.53,-41.94,106
11960,1500.15,-40.34,107
11980,1500.74,-41.54,108
12000,1501.29,-40.54,108
12020,1501.85,-39.6,109
12040,1502.51,-40.17,110
12060,1503.09,-39.32,110
12080,1503.65,-40.77,111
12100,1504.25,-40.74,112
12120,1504.78,-41.89,112
12140,1505.35,-40.61,113
12160,1505.87,-41.76,114
12180,1506.37,-42.09,114
12200,1506.94,-38.91,115
12220,1507.49,-41.4,115
12240,1508.03,-40.9,116
12260,1508.58,-39.9,117
12280,1509.2,-40.71,117
12300,1509.74,-41.01,118
12320,1510.29,-40.41,119
12340,1510.78,-40.95,119
12360,1511.34,-41.73,120
12380,1511.83,-41.17,121
12400,1512.41,-40.73,121
12420,1512.95,-41.21,122
12440,1513.56,-41.05,123
12460,1514.2,-41.39,123
12480,1514.75,-40.02,124
12500,1515.27,-41.91,125
12520,1515.84,-40.62,125
12540,1516.38,-39.09,126
12560,1516.89,-40.95,127
12580,1517.46,-40.54,127
12600,1517.94,-41.43,128
12620,1518.39,-42.71,129
12640,1518.9,-40.59,129
12660,1519.5,-41.82,130
12680,1520.04,-40.92,131
12700,1520.59,-42.27,131
12720,1521.21,-41.82,132
12740,1521.82,-41.95,132
12760,1522.36,-41.06,133
12780,1522.91,-39.86,134
12800,1523.44,-40.17,134
12820,1524.02,-40.36,135
12840,1524.7,-39.88,136
12860,1525.3,-38.98,136
12880,1525.94,-39.81,137
12900,1526.67,-40.11,138
12920,1527.42,-39.42,138
12940,1528.24,-37.79,139
12960,1528.98,-38.25,139
12980,1529.76,-39.11,140
13000,1530.73,-38.96,140
13020,1531.5,-39.87,141
13040,1532.26,-39.55,141
13060,1533.12,-39.49,142
13080,1533.86,-40.52,142
13100,1534.55,-39.77,143
13120,1535.21,-40.57,143
13140,1535.89,-40.17,144
13160,1536.56,-41.51,145
13180,1537.23,-40.08,145
13200,1537.94,-40.53,146
13220,1538.64,-40.1,146
13240,1539.37,-40.58,147
13260,1540,-39.45,147
13280,1540.8,-39.3,148
13300,1541.65,-38.97,148
13320,1542.48,-39.03,149
13340,1543.37,-39.35,149
13360,1544.2,-39.07,150
13380,1545.02,-38.56,150
13400,1545.94,-38.36,151
13420,1546.78,-38.76,151
13440,1547.75,-38.14,152
13460,1548.55,-38.56,152
13480,1549.46,-38.79,153
13500,1550.33,-38.33,153
13520,1551.27,-37.74,154
13540,1552.17,-38.08,155
13560,1553.16,-38.29,155
13580,1553.95,-38.99,156
13600,1554.75,-39.36,156
13620,1555.5,-39.64,157
13640,1556.26,-40.05,157
13660,1557.08,-39.21,158
13680,1557.89,-39.09,158
13700,1558.84,-38.67,159
13720,1559.72,-38.93,159
13740,1560.62,-37.66,160
13760,1561.51,-38.45,160
13780,1562.43,-39.42,161
13800,1563.36,-38.81,161
13820,1564.34,-37.86,162
13840,1565.2,-39.05,162
13860,1566.16,-37.96,163
13880,1567.16,-38,163
13900,1568.06,-38.43,164
13920,1568.98,-38.21,165
13940,1569.95,-38.61,165
13960,1570.75,-38.03,166
13980,1571.51,-39.99,166
14000,1572.26,-39.03,167
14020,1572.97,-39.73,167
14040,1573.59,-40.21,168
14060,1574.28,-39.9,168
14080,1575.03,-40.94,169
14100,1575.9,-38.05,169
14120,1576.77,-38.34,170
14140,1577.59,-38.01,170
14160,1578.54,-38.68,171
14180,1579.3,-38.04,171
14200,1580.19,-37.59,172
14220,1581.18,-37.46,173
14240,1582.16,-38.42,173
14260,1583.16,-37.76,174
14280,1584.06,-37.19,174
14300,1585.16,-37.13,175
14320,1586.22,-37.05,175
14340,1587.24,-37.54,176
14360,1588.24,-36.81,176
14380,1589.2,-37.49,177
14400,1590.16,-36.07,178
14420,1591.12,-37.17,178
14440,1592.08,-37.29,179
14460,1593.14,-37.04,179
14480,1594.21,-36.86,180
14500,1595.05,-36.26,180
14520,1596.12,-36.11,181
14540,1597.21,-36.14,181
14560,1598.32,-36.14,182
14580,1599.47,-36.98,182
14600,1600.52,-35.81,183
14620,1601.4,-36.74,184
14640,1602.32,-37.48,184
14660,1603.31,-37.52,185
14680,1604.17,-37.97,185
14700,1604.89,-40.64,186
14720,1605.38,-41.96,187
14740,1605.96,-42.47,189
14760,1606.49,-40.81,189
14780,1607.08,-41.03,191
14800,1607.68,-39.92,191
14820,1608.28,-40.68,191
14840,1608.8,-42.44,192
14860,1609.36,-40.78,193
14880,1609.88,-41.18,194
14900,1610.39,-40.14,194
14920,1610.9,-41.47,195
14940,1611.37,-41.76,195
14960,1611.83,-41.65,196
14980,1612.3,-40.88,196
15000,1612.83,-42.61,197
15020,1613.32,-42.37,198
15040,1613.72,-41.54,198
15060,1614.18,-43.17,198
15080,1614.66,-39.98,199
15100,1615.13,-43.51,200
15120,1615.55,-42.76,202
15140,1615.98,-40.12,204
15160,1616.39,-42.26,204
15180,1616.84,-42.99,205
15200,1617.32,-42.08,205
15220,1617.73,-40.57,206
15240,1618.18,-43.57,207
15260,1618.67,-40.55,208
15280,1619.12,-44.91,209
15300,1619.63,-41.99,209
15320,1620.11,-41.29,211
15340,1620.56,-42.08,211
15360,1621.02,-40.75,213
15380,1621.45,-40.66,214
15400,1621.92,-40.04,214
15420,1622.38,-43.26,215
15440,1622.83,-42.38,216
15460,1623.27,-42.89,217
15480,1623.77,-41.61,218
15500,1624.25,-41.95,219
15520,1624.71,-43.57,219
15540,1625.17,-41.88,220
15560,1625.6,-43.21,221
15580,1626.03,-44.56,223
15600,1626.44,-42.31,224
15620,1626.87,-42.15,224
15640,1627.34,-42.12,226
15660,1627.74,-42.2,226
15680,1628.16,-40.39,226
15700,1628.56,-43.5,226
15720,1628.98,-43.08,227
15740,1629.41,-44.63,228
15760,1629.81,-42.79,230
15780,1630.21,-44.02,231
15800,1630.6,-43.85,231
15820,1631.06,-40.21,231
15840,1631.51,-41.7,233
15860,1631.99,-41.15,234
15880,1632.52,-40.81,234
15900,1632.96,-43.15,235
15920,1633.38,-42.98,235
15940,1633.83,-41.55,237
15960,1634.32,-40.53,237
15980,1634.76,-41.6,240
16000,1635.26,-41.94,241
16020,1635.7,-42.3,243
16040,1636.21,-41.42,245
16060,1636.66,-41.29,246
16080,1637.12,-42.99,247
16100,1637.54,-44.97,248
16120,1637.99,-43.25,249
16140,1638.43,-40.35,250
16160,1638.85,-43.59,252
16180,1639.3,-41.86,254
16200,1639.76,-41.64,254
16220,1640.23,-44.27,255
16240,1640.66,-39.89,255
16260,1641.06,-42.36,257
16280,1641.51,-41.99,257
16300,1641.94,-40.71,259
16320,1642.37,-42.1,260
16340,1642.79,-42.33,261
16360,1643.27,-42.5,262
16380,1643.76,-39.74,264
16400,1644.22,-42.81,265
16420,1644.71,-41.62,265
16440,1645.15,-40.74,266
16460,1645.64,-42.58,267
16480,1646.11,-41.26,268
16500,1646.55,-41.18,269
16520,1646.99,-38.29,269
16540,1647.48,-40.38,272
16560,1647.9,-41.68,272
16580,1648.3,-41.52,273
16600,1648.75,-40.58,273
16620,1649.2,-42.77,275
16640,1649.73,-42.78,277
16660,1650.24,-40.88,278
16680,1650.75,-41.55,279
16700,1651.2,-40.65,280
16720,1651.66,-42.69,281
16740,1652.1,-39.36,282
16760,1652.56,-40.72,283
16780,1653.03,-41.8,284
16800,1653.52,-40.92,285
16820,1653.96,-39.26,287
16840,1654.49,-40.64,288
16860,1654.97,-39.46,290
16880,1655.41,-40.35,292
16900,1655.84,-40.3,293
16920,1656.28,-42.1,294
16940,1656.66,-41.25,295
16960,1657.11,-42.41,296
16980,1657.54,-40.69,298
17000,1658.02,-42.12,299
17020,1658.5,-40.42,300
17040,1658.94,-42.23,301
17060,1659.44,-40,303
17080,1659.92,-39.76,306
17100,1660.37,-38.99,306
17120,1660.89,-42.35,308
17140,1661.36,-39.8,309
17160,1661.88,-40.26,310
17180,1662.31,-40.48,310
17200,1662.8,-40.56,312
17220,1663.28,-40.17,313
17240,1663.78,-41.24,313
17260,1664.18,-42.24,315
17280,1664.59,-39.81,316
17300,1665.04,-39.8,317
17320,1665.49,-41.58,318
17340,1665.89,-40.55,321
17360,1666.33,-40.64,322
17380,1666.86,-39.94,323
17400,1667.31,-41.25,325
17420,1667.78,-42.94,328
17440,1668.19,-42.38,328
17460,1668.65,-41.52,329
17480,1669.09,-40.75,330
17500,1669.55,-40.72,331
17520,1669.95,-41.49,332
17540,1670.38,-41.22,333
17560,1670.8,-38.85,333
17580,1671.2,-40.46,333
17600,1671.65,-41.85,334
17620,1672.12,-39.58,335
17640,1672.61,-39.7,336
17660,1673.08,-40.89,337
17680,1673.63,-40.04,338
17700,1674.11,-40.7,338
17720,1674.49,-42.53,340
17740,1674.92,-41.35,341
17760,1675.35,-41.31,342
17780,1675.8,-41.04,343
17800,1676.27,-40.9,343
17820,1676.8,-38.95,345
17840,1677.31,-41.45,346
17860,1677.78,-42.4,346
17880,1678.2,-43.36,347
17900,1678.67,-41.14,347
17920,1679.16,-40.93,348
17940,1679.64,-42.52,349
17960,1680.05,-41.74,350
17980,1680.47,-43.47,351
18000,1680.96,-42.27,351
18020,1681.39,-42.68,351
18040,1681.82,-41.83,351
18060,1682.25,-40.5,353
18080,1682.64,-42.77,354
18100,1683.07,-42.9,355
18120,1683.57,-42.77,356
18140,1684.07,-42.99,356
18160,1684.55,-40.6,357
18180,1685.06,-40.68,358
18200,1685.55,-40.98,358
18220,1686.04,-42.25,358
18240,1686.5,-41.83,359
18260,1686.95,-41.63,359
18280,1687.35,-44.35,360
18300,1687.86,-42.17,361
18320,1688.35,-40.74,361
18340,1688.78,-43.78,362
18360,1689.23,-42.4,364
18380,1689.66,-43.02,364
18400,1690.04,-42.35,365
18420,1690.43,-41.89,366
18440,1690.92,-42.12,366
18460,1691.32,-42.25,368
18480,1691.75,-42.82,368
18500,1692.19,-40.04,370
18520,1692.67,-42.21,370
18540,1693.11,-41.75,372
18560,1693.54,-39.92,374
18580,1693.97,-40.92,375
18600,1694.41,-42.85,377
18620,1694.92,-41.37,378
18640,1695.36,-40.41,380
18660,1695.82,-40.96,380
18680,1696.29,-40.12,381
18700,1696.74,-41.7,381
18720,1697.18,-41.13,382
18740,1697.67,-41.01,383
18760,1698.13,-42.66,384
18780,1698.59,-42.25,384
18800,1699.01,-41.46,386
18820,1699.51,-41.24,387
18840,1700,-40.87,389
18860,1700.51,-41.97,389
18880,1700.94,-40.39,390
18900,1701.38,-40.26,392
18920,1701.82,-42.36,393
18940,1702.27,-42.09,394
18960,1702.68,-40.85,396
18980,1703.14,-42.11,398
19000,1703.56,-41.29,398
19020,1703.99,-42.16,400
19040,1704.42,-40.04,400
19060,1704.87,-42.61,401
19080,1705.33,-41.81,401
19100,1705.76,-42.03,402
19120,1706.18,-41.5,404
19140,1706.68,-42.48,405
